	Control_1	Control_2	Control_3	Control_4	Treatment_1	Treatment_2	Treatment_3	Treatment_4
ENSG00000163879	0	0	1	0	2	1	0	0
ENSG00000134697	397	388	507	721	1875	2138	1820	2374
ENSG00000169218	4	3	6	5	19	15	17	30
ENSG00000116922	136	140	196	242	730	845	687	842
ENSG00000134690	34	50	44	51	104	93	123	103
ENSG00000183317	0	3	8	11	59	66	53	91
ENSG00000185090	34	32	69	80	372	392	349	492
ENSG00000196449	236	198	332	467	648	707	514	713
ENSG00000197982	250	248	263	317	896	908	758	1056
ENSG00000188786	439	366	653	756	1734	1687	1700	1854
ENSG00000204084	583	559	339	426	661	773	592	785
ENSG00000183431	817	868	1144	1465	4338	4816	3833	5103
ENSG00000183386	386	366	103	116	101	100	95	148
ENSG00000183520	174	188	188	261	878	808	644	904
ENSG00000185668	62	51	42	47	12	11	15	27
ENSG00000116954	1062	1129	988	1288	1510	1639	1178	1677
ENSG00000214114	105	126	194	209	520	488	355	514
ENSG00000274944	0	0	3	0	0	0	0	0
ENSG00000131233	0	0	0	0	0	0	0	0
ENSG00000158315	6	2	2	3	6	15	11	19
ENSG00000174574	1246	1107	1519	1855	3672	4101	3207	4019
ENSG00000168653	522	672	435	589	2001	1959	1614	2170
ENSG00000127603	1108	689	702	1026	627	770	707	857
ENSG00000183682	35	18	29	42	50	52	44	68
ENSG00000090621	2515	2319	2698	3143	4069	3904	3427	4832
ENSG00000163909	0	0	0	0	0	0	1	2
ENSG00000116981	0	0	20	17	65	36	33	85
ENSG00000116983	0	1	0	1	1	1	6	0
ENSG00000084072	364	470	519	689	1728	1849	1531	1990
ENSG00000116985	16	12	38	48	31	62	72	72
ENSG00000198754	0	0	0	0	0	0	0	0
ENSG00000043514	54	46	63	90	234	291	281	298
ENSG00000116990	20	12	106	90	4	2	1	0
ENSG00000168389	1031	862	839	1047	731	776	589	862
ENSG00000131236	3124	3124	5167	6500	14353	15852	13483	17538
ENSG00000131238	625	650	764	1019	5096	5465	4507	5861
ENSG00000117000	881	788	431	626	1320	1302	1068	1484
ENSG00000188800	0	0	0	0	0	0	0	3
ENSG00000084073	165	155	385	494	1702	1870	1442	1821
ENSG00000049089	373	466	731	854	1530	1443	1263	1975
ENSG00000084070	8093	7533	8875	10773	18405	18896	15849	20740
ENSG00000187801	10	6	52	96	205	214	186	247
ENSG00000279667	2	0	1	1	3	2	3	2
ENSG00000187815	36	27	75	94	255	255	246	329
ENSG00000164002	24	22	81	79	371	418	307	444
ENSG00000117010	16	18	26	42	111	169	134	126
ENSG00000117016	82	86	72	87	19	20	11	22
ENSG00000066136	564	581	673	811	2076	2235	1925	2666
ENSG00000117013	3	4	10	4	7	4	11	23
ENSG00000179862	99	98	1	0	2	10	0	4
ENSG00000171793	192	269	357	404	830	719	604	917
ENSG00000171790	2	2	4	2	11	11	8	11
ENSG00000010803	233	181	201	263	586	635	528	657
ENSG00000204060	3	0	1	6	0	2	0	0
ENSG00000127129	0	3	0	0	0	0	0	0
ENSG00000127124	565	467	488	662	1002	1071	897	1648
ENSG00000284895	0	0	0	0	0	0	0	0
ENSG00000044012	0	0	0	0	0	0	0	0
ENSG00000197273	0	0	0	0	0	0	0	0
ENSG00000198815	778	611	900	1248	2797	2995	2630	3327
ENSG00000177181	169	207	4	14	0	2	1	0
ENSG00000066185	2	3	6	4	8	9	2	11
ENSG00000127125	400	416	458	624	1543	1630	1326	1742
ENSG00000186409	1212	1726	1182	1364	1460	1270	1222	1661
ENSG00000171960	239	261	224	327	1200	1292	1017	1423
ENSG00000065978	16339	18416	16009	17879	28300	28083	24197	32578
ENSG00000164007	0	1	0	0	2	0	0	0
ENSG00000117385	260	278	201	269	288	336	216	360
ENSG00000164008	0	0	0	0	0	0	1	0
ENSG00000283580	14	10	9	10	44	36	47	49
ENSG00000274386	1	2	8	13	27	57	25	67
ENSG00000177868	4	1	9	4	38	36	38	51
ENSG00000164010	43	21	49	70	384	409	353	401
ENSG00000164011	65	69	83	122	458	477	420	515
ENSG00000117394	2926	2972	2551	2822	4731	6024	5145	5708
ENSG00000186973	0	0	1	0	0	0	0	0
ENSG00000117395	117	126	269	298	1984	1929	1519	2419
ENSG00000243710	0	0	0	0	0	0	0	0
ENSG00000179178	0	0	3	3	20	16	14	18
ENSG00000253313	0	0	0	0	0	1	0	1
ENSG00000066056	7	11	0	0	2	0	4	0
ENSG00000117400	0	1	1	0	4	4	0	1
ENSG00000117399	208	234	173	155	21	10	8	15
ENSG00000066322	1674	1613	1645	1892	3081	3566	2767	3651
ENSG00000159479	292	281	389	496	1203	1304	1101	1437
ENSG00000198198	421	281	290	401	801	796	827	1081
ENSG00000178922	0	0	0	0	0	0	0	0
ENSG00000142949	85	59	110	96	1	5	4	4
ENSG00000066135	0	0	0	0	0	0	0	0
ENSG00000284989	0	0	1	0	0	1	1	0
ENSG00000126091	4	3	0	9	4	5	8	2
ENSG00000117407	6	1	0	1	13	19	15	28
ENSG00000117408	244	199	517	514	1186	1339	1189	1461
ENSG00000132768	128	135	341	369	1526	1566	1331	1927
ENSG00000117410	1461	1602	1966	2512	5513	6005	5102	6294
ENSG00000117411	71	76	168	169	254	158	152	252
ENSG00000159214	0	0	0	0	4	0	0	0
ENSG00000196517	159	126	347	422	472	371	311	568
ENSG00000171872	7	12	19	9	5	5	5	10
ENSG00000283039	0	0	0	0	0	0	0	0
ENSG00000178028	109	139	122	129	686	843	727	915
ENSG00000117419	398	413	498	444	1139	1087	980	1311
ENSG00000187147	61	70	74	93	268	304	223	361
ENSG00000126106	18	8	20	15	120	149	152	166
ENSG00000198520	99	104	15	13	287	329	278	327
ENSG00000142945	43	63	54	39	97	139	122	133
ENSG00000142937	51773	56067	32270	48181	114041	127785	103173	121715
ENSG00000142959	14	20	12	15	131	155	134	151
ENSG00000173846	104	116	258	285	1317	1303	1029	1557
ENSG00000188396	0	0	0	0	3	0	4	2
ENSG00000222009	18	15	94	82	95	80	45	111
ENSG00000117425	2	0	0	5	2	6	3	3
ENSG00000070785	85	108	178	182	468	497	409	538
ENSG00000126107	568	459	608	619	832	947	731	1037
ENSG00000126088	281	353	325	393	1025	1194	922	1392
ENSG00000162415	30	27	28	40	159	137	133	172
ENSG00000186603	3	1	4	1	29	17	8	25
ENSG00000132781	0	0	0	0	1	0	0	0
ENSG00000288208	0	0	0	0	0	0	0	0
ENSG00000132773	0	0	0	0	0	0	0	0
ENSG00000070759	0	0	0	0	0	0	0	0
ENSG00000280670	44	32	101	106	68	121	103	125
ENSG00000132763	7	2	22	17	59	72	48	80
ENSG00000117450	1775	1947	3648	4774	7820	7589	6235	8970
ENSG00000117448	1684	1666	2365	2735	3019	2915	2377	3688
ENSG00000132780	663	750	669	894	3134	3812	3059	4043
ENSG00000159588	3	2	2	0	2	1	1	0
ENSG00000159592	1124	1058	1245	1508	4660	4973	4019	5122
ENSG00000159596	222	218	225	307	674	702	591	814
ENSG00000197429	83	64	71	102	202	198	161	250
ENSG00000086015	255	245	242	238	414	510	438	581
ENSG00000117461	1	2	2	7	21	21	15	25
ENSG00000278139	0	0	0	1	3	0	2	0
ENSG00000117472	0	0	0	1	0	3	2	0
ENSG00000250719	0	0	0	0	0	0	0	0
ENSG00000085998	559	558	655	683	1057	1017	902	1260
ENSG00000171357	21	22	14	13	3	1	4	3
ENSG00000085999	4	8	2	3	11	14	5	10
ENSG00000132128	1017	914	1535	1578	2608	2596	2343	3184
ENSG00000173660	1018	1087	1603	2552	5251	5462	4432	5592
ENSG00000117481	489	399	792	990	1547	1657	1326	1779
ENSG00000117480	38	17	105	117	438	450	395	531
ENSG00000197587	1	0	0	0	2	0	0	3
ENSG00000282881	0	0	0	0	0	0	0	0
ENSG00000162456	0	0	0	0	2	0	0	0
ENSG00000079277	415	341	378	513	470	548	429	593
ENSG00000142961	0	0	0	0	0	0	0	0
ENSG00000123472	478	481	536	701	822	777	718	872
ENSG00000186118	0	0	0	0	0	0	0	0
ENSG00000159658	1040	886	1431	1758	6333	6874	5726	7620
ENSG00000142973	0	1	0	0	1	0	0	0
ENSG00000187048	0	0	0	0	0	0	0	0
ENSG00000186377	1	0	0	0	4	0	3	0
ENSG00000186160	1	0	1	0	0	0	0	2
ENSG00000162365	0	0	0	0	0	0	0	0
ENSG00000162366	1	0	1	0	1	1	1	1
ENSG00000162367	9	3	3	0	4	1	0	0
ENSG00000123473	24	20	41	58	117	91	100	102
ENSG00000162368	1891	1922	2105	2978	5309	5632	4729	5765
ENSG00000186790	0	0	0	0	0	0	0	0
ENSG00000186564	6	2	2	1	14	14	3	12
ENSG00000269113	2	1	0	1	5	0	5	4
ENSG00000279096	0	0	0	0	0	0	0	0
ENSG00000117834	0	0	0	0	0	0	0	0
ENSG00000279214	0	0	0	0	0	0	0	0
ENSG00000132122	181	192	174	193	84	101	85	85
ENSG00000186094	8	11	12	10	10	10	1	10
ENSG00000162373	0	0	0	0	0	0	0	0
ENSG00000279324	0	0	0	0	0	0	0	0
ENSG00000162374	0	1	2	0	3	0	0	0
ENSG00000142700	0	1	0	0	0	1	0	0
ENSG00000185104	955	1037	1094	1202	1653	1816	1582	1901
ENSG00000123080	281	300	366	456	547	616	507	573
ENSG00000204006	0	0	0	0	0	0	0	0
ENSG00000123091	2145	2884	3366	2935	2606	2856	1891	1649
ENSG00000085831	17	30	10	10	5	1	1	4
ENSG00000085832	3240	2483	2869	3817	3334	3322	2785	3623
ENSG00000117859	1115	1154	1335	1676	1838	2064	1644	2170
ENSG00000078618	815	833	1353	1646	3005	3183	2572	3695
ENSG00000169213	12	5	1	3	0	1	0	0
ENSG00000117862	87	97	66	108	505	645	439	627
ENSG00000285839	0	0	0	0	0	0	0	0
ENSG00000198841	0	0	0	0	0	0	0	0
ENSG00000134717	290	327	510	691	2178	2004	1618	2279
ENSG00000157077	212	167	222	250	172	149	155	212
ENSG00000154222	286	268	326	342	932	1011	843	1138
ENSG00000085840	11	15	16	15	38	29	32	34
ENSG00000134748	114	79	155	160	519	627	443	635
ENSG00000134744	643	500	580	866	2462	2755	2352	2977
ENSG00000116157	257	289	137	167	813	835	721	916
ENSG00000182183	46	29	46	51	428	539	432	556
ENSG00000162377	84	92	155	202	642	664	486	775
ENSG00000162378	539	490	468	708	1439	1694	1477	1782
ENSG00000203995	5	1	1	5	4	0	0	7
ENSG00000121310	210	178	160	223	241	239	197	217
ENSG00000116171	558	587	815	1134	3397	3702	2963	3859
ENSG00000174348	0	0	0	0	0	1	0	0
ENSG00000162383	1	2	0	1	0	1	0	0
ENSG00000157184	190	196	210	298	536	610	517	609
ENSG00000162384	221	228	253	244	824	783	673	919
ENSG00000162385	202	234	258	395	1399	1491	1086	1612
ENSG00000157193	93	101	243	348	168	140	116	201
ENSG00000143006	0	0	0	0	0	0	0	0
ENSG00000174332	3	4	0	5	1	1	0	0
ENSG00000058804	309	359	316	376	1056	1093	993	1248
ENSG00000058799	156	143	261	268	915	976	823	1062
ENSG00000211452	9	3	0	1	1	1	0	3
ENSG00000081870	108	99	142	167	612	701	510	654
ENSG00000116212	179	226	200	271	443	435	359	500
ENSG00000203985	0	0	0	0	0	0	0	1
ENSG00000116209	2184	2393	1566	2048	6375	7180	5797	7349
ENSG00000280378	0	0	0	0	0	0	0	0
ENSG00000116205	202	203	205	280	546	733	663	758
ENSG00000256407	0	0	2	5	20	15	11	18
ENSG00000157211	0	0	0	0	0	0	0	0
ENSG00000215883	0	0	0	0	0	0	0	0
ENSG00000116221	947	906	906	1180	2056	1984	1650	2277
ENSG00000157216	610	574	416	383	644	840	729	833
ENSG00000162390	3	7	0	1	5	4	3	1
ENSG00000162391	0	0	0	0	0	0	0	0
ENSG00000184313	0	0	0	0	0	0	0	0
ENSG00000271723	0	0	0	0	0	0	0	1
ENSG00000243725	0	1	4	3	27	20	18	16
ENSG00000162396	41	38	69	98	296	259	244	341
ENSG00000006555	49	20	45	88	142	150	160	170
ENSG00000162398	0	0	0	0	1	0	2	2
ENSG00000116133	119	95	91	124	689	719	601	931
ENSG00000143001	0	0	0	0	0	0	0	0
ENSG00000162399	0	0	0	0	0	0	0	1
ENSG00000169174	0	0	0	1	0	0	0	0
ENSG00000162402	1854	1358	2296	2889	3880	4330	3622	4419
ENSG00000284686	0	2	0	5	1	2	8	3
ENSG00000162407	30	41	22	28	40	22	34	30
ENSG00000162409	1	0	3	0	1	0	0	0
ENSG00000187889	0	0	0	1	0	0	0	1
ENSG00000157131	1	2	0	1	0	0	0	3
ENSG00000021852	0	1	0	0	0	0	0	0
ENSG00000173406	1660	1822	1221	1485	3258	3964	3583	4286
ENSG00000162600	1	0	1	0	0	0	0	0
ENSG00000184292	1	2	0	0	0	0	0	0
ENSG00000162601	149	114	289	379	737	784	669	886
ENSG00000177606	2414	2283	2907	3768	2085	2215	1803	2601
ENSG00000172456	196	209	189	214	177	167	178	256
ENSG00000134709	18	22	92	154	676	690	613	841
ENSG00000134716	1	1	13	13	27	17	11	24
ENSG00000162598	0	1	0	0	0	2	0	3
ENSG00000162599	78	128	88	94	15	18	10	29
ENSG00000162604	169	211	198	313	567	708	545	758
ENSG00000132849	249	211	145	199	292	350	315	426
ENSG00000240563	273	238	0	0	0	0	0	0
ENSG00000132854	2	2	3	1	3	1	4	1
ENSG00000162607	462	497	447	670	2683	2982	2329	2996
ENSG00000116641	230	219	515	557	631	710	536	741
ENSG00000132855	0	0	0	0	0	0	0	0
ENSG00000278967	0	0	0	0	0	0	0	0
ENSG00000125703	139	158	203	323	1730	1814	1495	1757
ENSG00000187140	0	0	0	0	0	0	0	0
ENSG00000088035	64	50	78	76	457	455	358	496
ENSG00000142856	93	81	123	170	345	316	215	357
ENSG00000203965	0	0	0	0	0	0	0	0
ENSG00000079739	1577	1490	1059	1417	1186	1269	1100	1353
ENSG00000185483	595	398	1040	1222	4720	4930	4255	5217
ENSG00000177414	0	1	1	1	0	1	0	0
ENSG00000158966	0	4	2	1	3	1	0	4
ENSG00000162437	21	26	15	12	131	121	121	140
ENSG00000162434	4153	3527	3716	4484	12024	13039	11223	13829
ENSG00000162433	299	349	111	146	6	5	6	16
ENSG00000116675	9	3	4	4	6	0	2	1
ENSG00000213625	0	0	0	0	0	2	0	0
ENSG00000116678	117	89	102	173	137	106	94	109
ENSG00000184588	786	772	1025	1311	6840	7170	5859	7242
ENSG00000118473	0	2	0	0	2	5	0	1
ENSG00000152760	1	0	0	0	3	1	0	0
ENSG00000172410	0	0	0	0	1	0	0	0
ENSG00000152763	3	3	7	13	17	17	9	13
ENSG00000198160	603	588	574	900	2302	2389	1911	2437
ENSG00000116704	116	108	172	243	1107	1110	1004	1145
ENSG00000203963	0	0	0	0	0	0	0	0
ENSG00000162594	0	0	0	0	0	2	0	0
ENSG00000081985	12	11	11	11	10	0	5	3
ENSG00000142864	4079	4468	4337	5692	9648	9908	8203	11541
ENSG00000116717	638	653	198	210	226	277	230	237
ENSG00000172380	0	1	0	1	0	2	2	0
ENSG00000162595	0	0	0	0	0	0	0	0
ENSG00000116729	198	184	270	217	1	2	0	6
ENSG00000116745	0	0	0	0	0	0	0	0
ENSG00000024526	21	22	15	25	1	0	0	0
ENSG00000033122	6	3	1	5	5	15	6	16
ENSG00000066557	51	57	141	231	494	493	384	532
ENSG00000116754	1222	1099	1064	1343	2600	2794	2237	2932
ENSG00000118454	283	316	443	522	1232	1423	1197	1462
ENSG00000116761	16	18	78	85	94	87	71	70
ENSG00000050628	3	3	0	5	1	0	4	4
ENSG00000132485	508	462	609	801	1667	1584	1368	1772
ENSG00000172260	64	90	54	80	197	172	156	248
ENSG00000280317	0	0	0	0	0	0	0	0
ENSG00000162620	4	6	5	15	20	45	32	22
ENSG00000259030	0	0	0	0	0	0	2	0
ENSG00000254685	0	0	0	0	0	0	0	0
ENSG00000116783	0	0	0	0	0	0	0	0
ENSG00000162621	0	0	0	0	0	0	0	0
ENSG00000178965	0	2	1	0	0	0	0	0
ENSG00000116791	120	149	108	123	626	638	499	680
ENSG00000162623	182	181	230	321	981	1075	851	1123
ENSG00000162624	0	0	0	0	0	0	0	0
ENSG00000137968	200	236	152	186	27	12	10	6
ENSG00000117054	324	353	510	786	2258	2484	1999	2626
ENSG00000137955	517	516	353	495	706	724	572	796
ENSG00000057468	3	0	0	5	10	3	0	5
ENSG00000154007	0	0	0	0	0	0	0	0
ENSG00000184005	12	11	2	5	6	13	11	12
ENSG00000117069	9	5	7	3	0	1	0	0
ENSG00000142892	6415	8025	3479	4917	12226	12808	11046	14188
ENSG00000154027	8	3	7	0	3	5	10	4
ENSG00000036549	565	528	701	947	2184	2312	1950	2595
ENSG00000077254	396	316	439	608	1977	2184	1788	2285
ENSG00000180488	734	750	796	1080	2807	3116	2655	3075
ENSG00000162614	51	68	22	33	29	20	23	32
ENSG00000162613	480	427	866	1108	4295	4514	3788	5282
ENSG00000162616	5	5	3	1	11	11	4	15
ENSG00000137960	50	58	44	55	25	25	19	35
ENSG00000122420	5	2	5	3	5	4	1	0
ENSG00000137959	992	1079	2286	3218	1720	1243	1029	1663
ENSG00000137965	87	105	388	567	650	477	408	655
ENSG00000162618	1	2	1	1	6	2	7	7
ENSG00000117114	149	133	60	67	85	126	87	118
ENSG00000137941	2	3	0	0	6	4	3	10
ENSG00000142875	80	89	53	67	612	677	549	713
ENSG00000203943	2	2	1	0	0	0	0	7
ENSG00000137976	0	0	0	0	0	0	0	0
ENSG00000117133	281	297	393	482	1949	2003	1490	2018
ENSG00000174021	1454	1646	1598	2133	1899	1848	1474	2046
ENSG00000122432	3	8	11	10	20	20	12	13
ENSG00000117151	36	53	49	76	228	267	194	299
ENSG00000117155	39	23	44	64	133	181	128	135
ENSG00000171517	0	5	6	4	4	9	1	4
ENSG00000153898	827	676	1466	2155	2339	2431	1932	2637
ENSG00000162643	1	2	6	5	2	5	12	10
ENSG00000055732	0	0	0	0	0	0	0	0
ENSG00000280099	0	0	0	0	0	1	0	0
ENSG00000097096	0	1	2	2	9	3	7	17
ENSG00000162642	90	99	77	104	519	560	487	554
ENSG00000142867	411	402	434	589	1521	1567	1221	1580
ENSG00000153904	12	20	9	8	53	32	29	49
ENSG00000142871	127	119	138	148	0	0	0	0
ENSG00000117174	157	144	172	284	783	760	708	981
ENSG00000171502	10	1	2	4	4	3	1	7
ENSG00000122417	28	54	41	66	167	143	113	172
ENSG00000137975	0	1	0	0	0	0	0	0
ENSG00000016490	0	0	0	0	0	2	0	0
ENSG00000016602	0	0	0	0	3	1	0	3
ENSG00000097033	1921	1900	1727	2197	3579	4036	3296	4072
ENSG00000183291	1042	1280	1203	1612	7180	7415	6221	7952
ENSG00000153936	67	65	96	83	156	146	117	120
ENSG00000267561	4	1	0	0	10	3	5	3
ENSG00000143013	905	871	828	932	2357	2427	2072	2559
ENSG00000279778	0	0	0	0	0	0	0	0
ENSG00000065243	513	352	397	524	883	919	737	804
ENSG00000137947	347	475	372	505	2180	2555	1882	2504
ENSG00000137944	225	223	235	314	526	536	415	561
ENSG00000213516	0	0	0	0	0	0	0	0
ENSG00000117226	56	54	51	62	297	274	224	291
ENSG00000117228	125	94	133	196	122	104	121	124
ENSG00000162645	1429	1461	531	708	4854	4870	4074	5803
ENSG00000213512	0	1	0	1	2	0	1	2
ENSG00000162654	311	321	369	551	494	517	491	683
ENSG00000154451	238	253	354	369	669	770	678	917
ENSG00000183347	11	8	5	9	0	0	0	0
ENSG00000197147	263	210	333	408	1128	1086	923	1161
ENSG00000288629	0	0	0	0	0	0	0	0
ENSG00000171488	0	2	0	0	0	1	0	0
ENSG00000271949	1	1	5	6	22	30	18	22
ENSG00000171492	407	381	509	684	2437	2477	2133	2805
ENSG00000162664	233	282	254	297	501	572	453	563
ENSG00000143032	0	0	0	3	0	0	0	0
ENSG00000122482	531	496	702	1025	2530	2815	2491	2883
ENSG00000162669	10644	9024	11915	12627	8281	9319	11851	13217
ENSG00000097046	24	22	28	42	132	139	126	135
ENSG00000069702	285	254	495	627	2272	1868	1666	2616
ENSG00000137948	2	2	0	0	0	0	0	1
ENSG00000172031	0	0	0	0	0	1	0	0
ENSG00000230667	202	219	242	288	92	94	71	105
ENSG00000189195	7	5	7	15	56	41	46	53
ENSG00000203910	0	0	3	4	0	0	1	2
ENSG00000174842	56	37	63	77	210	167	174	222
ENSG00000122484	171	160	202	333	694	703	620	735
ENSG00000162676	702	693	555	751	221	205	151	235
ENSG00000067208	111	85	143	221	408	467	391	472
ENSG00000122406	58	55	32	33	63	87	47	62
ENSG00000154511	1247	1314	755	995	3001	3269	2633	3206
ENSG00000143033	361	342	467	566	1511	1598	1436	1720
ENSG00000117500	624	629	765	1061	2510	2711	2387	2721
ENSG00000122483	125	90	104	197	406	465	333	484
ENSG00000117505	1059	1068	1356	1746	3627	4060	3449	4108
ENSG00000137942	34	27	56	94	106	118	100	127
ENSG00000137936	173	152	686	766	1435	1229	1019	1717
ENSG00000067334	475	545	481	670	2326	2538	2033	2918
ENSG00000023909	168	211	219	238	340	336	308	428
ENSG00000198691	7	5	3	5	1	0	2	3
ENSG00000137962	3	0	1	0	3	3	1	1
ENSG00000117528	116	94	214	240	940	998	709	978
ENSG00000117525	9	7	0	2	0	0	0	0
ENSG00000143036	2	2	1	1	1	1	0	0
ENSG00000117519	241	222	113	107	33	45	47	58
ENSG00000172339	22	34	53	81	249	245	203	283
ENSG00000152078	1	2	0	2	31	38	13	33
ENSG00000271092	1	2	1	1	18	16	14	15
ENSG00000122481	0	0	0	0	0	0	0	0
ENSG00000117569	285	277	287	368	207	223	161	196
ENSG00000188641	168	96	188	242	1046	1320	1020	1274
ENSG00000280040	0	0	0	0	0	0	0	0
ENSG00000162627	0	0	0	0	0	0	0	0
ENSG00000117598	21	13	7	12	23	37	15	24
ENSG00000117600	0	0	0	0	0	1	0	1
ENSG00000099260	0	0	1	0	4	0	0	0
ENSG00000156869	1	3	7	5	27	29	27	17
ENSG00000162688	122	92	428	478	1305	1377	1145	1392
ENSG00000117620	0	0	4	1	8	11	11	7
ENSG00000283761	1	0	1	3	8	5	2	5
ENSG00000156875	0	0	0	0	0	0	1	0
ENSG00000156876	18	41	34	83	212	229	147	203
ENSG00000122435	46	37	73	85	326	327	258	351
ENSG00000122477	5	2	7	3	25	30	25	25
ENSG00000137992	149	156	234	379	1064	1140	1001	1309
ENSG00000137996	495	523	488	622	736	780	644	848
ENSG00000079335	176	158	175	223	281	310	293	344
ENSG00000181656	0	0	0	0	0	0	0	0
ENSG00000162692	6	7	1	7	1	0	0	0
ENSG00000162694	12	22	39	61	65	70	107	67
ENSG00000162695	194	213	233	361	451	465	437	540
ENSG00000117543	708	775	640	904	1230	1315	1050	1391
ENSG00000170989	110	77	0	5	3073	3915	3388	3870
ENSG00000118733	25	23	22	14	26	26	6	20
ENSG00000060718	1	1	0	1	3	0	3	0
ENSG00000185946	35	43	58	79	260	241	244	236
ENSG00000240038	16	22	9	20	44	67	27	41
ENSG00000243480	0	4	1	0	5	4	3	1
ENSG00000237763	1	2	0	2	1	12	4	0
ENSG00000174876	1	1	0	2	2	5	0	0
ENSG00000187733	1	1	0	2	3	6	3	0
ENSG00000198890	138	104	344	400	1514	1695	1208	1733
ENSG00000162631	2	9	38	61	318	249	198	293
ENSG00000134215	77	44	206	264	710	908	658	931
ENSG00000085491	401	350	448	607	1684	1714	1422	1854
ENSG00000280186	3	4	1	2	6	6	10	16
ENSG00000196427	0	0	0	0	0	0	0	0
ENSG00000186086	0	0	0	0	0	0	0	0
ENSG00000162636	755	666	501	731	469	595	458	518
ENSG00000162639	157	144	46	84	411	444	346	441
ENSG00000134186	890	938	528	635	1612	1954	1543	1997
ENSG00000143107	1	1	1	0	0	0	5	1
ENSG00000116266	428	474	441	585	1353	1596	1217	1630
ENSG00000162641	0	1	0	0	1	1	0	4
ENSG00000121957	0	0	0	0	0	0	0	0
ENSG00000121940	0	0	0	0	0	0	0	0
ENSG00000085433	2965	3524	1600	2380	4914	5646	4570	5748
ENSG00000197780	55	46	59	84	189	218	167	238
ENSG00000215717	1002	1042	1165	1658	2725	2818	2309	2797
ENSG00000179902	0	2	0	1	0	1	0	2
ENSG00000116299	8	10	2	5	8	24	11	15
ENSG00000031698	2606	2828	3703	4753	6751	7110	5715	7969
ENSG00000143126	10	6	11	14	110	127	129	149
ENSG00000134222	0	4	0	0	0	0	0	0
ENSG00000221986	0	0	0	0	0	2	0	0
ENSG00000134243	40	35	4	1	5	8	5	15
ENSG00000143106	3464	4198	3935	4449	3538	3369	2680	3834
ENSG00000143028	4	1	1	1	0	0	0	2
ENSG00000162650	173	166	103	93	184	214	161	224
ENSG00000174151	211	201	298	339	855	890	766	1081
ENSG00000181754	11	10	66	80	226	271	250	294
ENSG00000156097	0	0	1	5	7	7	9	4
ENSG00000065135	1170	1209	1581	1994	2868	2860	2497	3203
ENSG00000134183	9	4	10	12	3	5	5	14
ENSG00000116337	578	552	654	736	901	847	769	1002
ENSG00000168765	28	57	86	108	361	388	287	427
ENSG00000213366	153	129	456	529	1156	1391	1267	1536
ENSG00000134184	0	0	0	0	0	0	0	0
ENSG00000134201	22	7	18	13	16	28	22	27
ENSG00000134202	0	0	0	0	0	0	0	0
ENSG00000198758	0	0	0	0	0	0	0	0
ENSG00000184371	1372	1311	354	339	340	208	230	427
ENSG00000168710	2616	2725	3537	3618	3300	3491	3019	3871
ENSG00000143093	449	392	471	584	1516	1643	1268	1866
ENSG00000156150	0	0	0	0	0	0	0	0
ENSG00000186150	0	0	0	0	0	0	0	0
ENSG00000197106	1	0	0	1	0	0	0	0
ENSG00000116396	49	42	82	97	400	338	320	426
ENSG00000162775	414	378	452	617	1471	1652	1500	1859
ENSG00000168679	118	110	14	23	162	155	99	174
ENSG00000134248	661	707	484	701	2228	2394	1976	2569
ENSG00000143125	0	0	0	0	0	0	0	1
ENSG00000143105	0	0	0	0	0	0	0	0
ENSG00000177301	3	4	0	0	20	23	27	33
ENSG00000177272	205	184	145	184	2527	2792	2350	2799
ENSG00000143119	2549	2733	2897	3582	15897	17200	14576	17581
ENSG00000121931	291	296	319	485	1060	1122	802	1150
ENSG00000156171	1682	1727	1772	2601	4409	4473	3772	4613
ENSG00000134255	784	847	1010	1385	3311	3275	2722	3435
ENSG00000162777	481	457	1888	2268	3801	3490	2924	4219
ENSG00000064886	9	6	13	17	79	74	75	76
ENSG00000134216	0	0	0	0	0	0	2	0
ENSG00000173947	2	1	10	12	26	27	31	29
ENSG00000085465	8	4	10	11	30	35	19	26
ENSG00000116455	254	182	595	702	2322	2206	1771	2426
ENSG00000116459	1401	1502	1904	2644	6837	6868	6014	7553
ENSG00000143110	67	82	182	202	1590	1993	1631	1668
ENSG00000121933	8	5	11	11	11	21	6	12
ENSG00000282608	0	0	0	0	0	0	0	0
ENSG00000116473	166	124	118	188	68	53	59	70
ENSG00000197852	224	159	161	159	104	144	146	145
ENSG00000064703	197	204	346	456	1219	1372	1135	1418
ENSG00000171385	3	4	0	1	2	5	5	4
ENSG00000143079	216	165	83	135	35	22	30	49
ENSG00000134245	4	7	1	7	57	92	91	85
ENSG00000007341	66	80	79	117	171	185	142	206
ENSG00000116489	2735	2930	3316	4806	10659	11023	8775	11631
ENSG00000155363	414	353	1029	1215	947	1016	816	1170
ENSG00000155366	598	612	468	578	2247	2610	2297	2824
ENSG00000271810	0	0	0	1	2	0	3	0
ENSG00000155367	2	0	5	9	40	54	40	52
ENSG00000184599	0	0	0	0	1	0	0	0
ENSG00000155380	265	224	371	414	1136	1108	998	1392
ENSG00000198799	304	231	234	267	645	782	602	761
ENSG00000081026	919	1276	773	936	313	341	275	394
ENSG00000116793	480	406	592	872	3617	3157	2762	4118
ENSG00000081019	1599	1355	1989	2176	3285	3541	2817	3492
ENSG00000134242	132	105	249	334	3468	3704	2896	3911
